Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc_mm_0-1_15_opt-02,0.91669,0.00408,0.91049,0.92462,0.88921,0.01445,0.8719,0.91676,0.91669,0.00408,0.91049,0.92462,0.87751,0.0069,0.86736,0.89078,0.92677,0.0069,0.9186,0.93935,0.88571,0.00513,0.87626,0.89576,1.21973,0.07157,1.13281,1.4684
fc_mm_0-1_22_opt-02,0.91549,0.00474,0.90964,0.92469,0.88741,0.01407,0.86929,0.91437,0.91549,0.00474,0.90964,0.92469,0.87573,0.00776,0.8661,0.8904,0.92234,0.00871,0.91094,0.93936,0.88363,0.00717,0.87275,0.89929,1.4058,0.05432,1.31042,1.5382
fc_mm_0-1000_10_default,0.91603,0.00122,0.91375,0.91781,0.88012,0.00284,0.87543,0.88573,0.91603,0.00122,0.91375,0.91781,0.87562,0.00195,0.87173,0.87818,0.92841,0.00121,0.9253,0.92959,0.89056,0.00158,0.88672,0.89222,1.18742,0.0433,1.15076,1.2653
fc_none_10_default,0.91531,0.00098,0.91327,0.91679,0.87689,0.00231,0.87241,0.88023,0.91531,0.00098,0.91327,0.91679,0.87437,0.0015,0.87138,0.87677,0.92888,0.00092,0.92785,0.93079,0.89052,0.00124,0.88862,0.89332,1.19258,0.02907,1.15599,1.24971
fc_std_15_opt-02,0.91442,0.00102,0.91255,0.91561,0.88061,0.00329,0.87452,0.88614,0.91442,0.00102,0.91255,0.91561,0.87354,0.0017,0.87012,0.87583,0.92241,0.00164,0.9193,0.9246,0.88315,0.0024,0.87842,0.88655,1.15652,0.01837,1.13832,1.1871
fc_mm_0-100_10_default,0.91465,0.00193,0.90971,0.91781,0.87639,0.00463,0.8684,0.88573,0.91465,0.00193,0.90971,0.91781,0.87333,0.00313,0.86556,0.87818,0.92762,0.00175,0.9234,0.9296,0.88903,0.00263,0.88166,0.89222,1.18927,0.04317,1.15076,1.29657
fc_mm_0-10_10_default,0.91436,0.00171,0.90971,0.91781,0.87533,0.00442,0.8684,0.88573,0.91436,0.00171,0.90971,0.91781,0.87279,0.00279,0.86556,0.87818,0.92737,0.00171,0.92305,0.9296,0.88854,0.00243,0.88166,0.89222,1.18745,0.04214,1.1385,1.29657
fc_mm_0-1_10_default,0.9141,0.0017,0.90971,0.91781,0.87472,0.00419,0.86728,0.88573,0.9141,0.0017,0.90971,0.91781,0.87239,0.00274,0.86556,0.87818,0.92714,0.00164,0.92305,0.9296,0.88816,0.00235,0.88166,0.89222,1.18687,0.04132,1.1385,1.29657
fc_std_10_opt-02,0.91347,0.00131,0.91201,0.91551,0.87623,0.00292,0.87115,0.87992,0.91347,0.00131,0.91201,0.91551,0.87168,0.00207,0.86871,0.87466,0.92644,0.00227,0.92202,0.92887,0.88584,0.00224,0.88093,0.88757,1.09347,0.04634,1.04666,1.1716
fc_std_22_opt-02,0.91258,0.0013,0.90989,0.91426,0.87875,0.00353,0.87314,0.88449,0.91258,0.0013,0.90989,0.91426,0.87087,0.00197,0.86667,0.87322,0.91735,0.00238,0.91229,0.92043,0.88006,0.00402,0.87086,0.88553,1.36029,0.0369,1.31218,1.43717
fc_std_10_default,0.91272,0.00096,0.91133,0.91459,0.87226,0.00196,0.86995,0.87603,0.91272,0.00096,0.91133,0.91459,0.87028,0.00146,0.86843,0.87325,0.92576,0.00107,0.92332,0.92673,0.88627,0.00148,0.88382,0.888,1.18447,0.02636,1.15392,1.23245
fc_mm_0-1000_15_default,0.91266,0.00127,0.90961,0.91434,0.87023,0.00192,0.86708,0.8726,0.91266,0.00127,0.90961,0.91434,0.86991,0.00178,0.86573,0.87237,0.91981,0.00139,0.9172,0.92202,0.88621,0.00176,0.88191,0.8883,1.33258,0.06854,1.27557,1.47344
fc_none_15_default,0.91191,0.00108,0.91075,0.91388,0.86633,0.00361,0.85919,0.87166,0.91191,0.00108,0.91075,0.91388,0.86837,0.00191,0.86603,0.87179,0.91992,0.00176,0.91723,0.92229,0.88578,0.00207,0.88318,0.88914,1.33817,0.05196,1.26536,1.43194
fc_mm_0-100_15_default,0.91138,0.00171,0.90908,0.91434,0.86558,0.0053,0.85614,0.8726,0.91138,0.00171,0.90908,0.91434,0.86758,0.00288,0.86345,0.87237,0.91916,0.00156,0.91657,0.92202,0.88509,0.00208,0.88124,0.8883,1.3383,0.08059,1.26533,1.54131
fc_mm_0-10_15_default,0.91071,0.00173,0.90838,0.91434,0.86354,0.00526,0.85614,0.8726,0.91071,0.00173,0.90838,0.91434,0.86649,0.00286,0.8626,0.87237,0.91826,0.00192,0.91439,0.92202,0.88427,0.00225,0.88068,0.8883,1.33636,0.07734,1.26533,1.54131
fc_mm_0-1_15_default,0.91024,0.00182,0.90625,0.91434,0.86266,0.00504,0.85602,0.8726,0.91024,0.00182,0.90625,0.91434,0.86578,0.00294,0.85954,0.87237,0.91768,0.00219,0.91242,0.92202,0.88358,0.00262,0.87601,0.8883,1.33292,0.07018,1.26533,1.54131
fc_std_15_default,0.90921,0.00107,0.90738,0.91101,0.86004,0.00326,0.85537,0.86617,0.90921,0.00107,0.90738,0.91101,0.8641,0.00157,0.86141,0.86706,0.91647,0.00121,0.9144,0.91828,0.88277,0.00139,0.88057,0.88503,1.32557,0.04407,1.28988,1.43056
fc_mm_0-1000_22_default,0.90546,0.0011,0.90424,0.90726,0.84593,0.00207,0.84212,0.84926,0.90546,0.0011,0.90424,0.90726,0.85737,0.00161,0.85573,0.85982,0.90502,0.00103,0.90354,0.90687,0.88311,0.00163,0.88118,0.88537,1.63556,0.07802,1.53463,1.80631
fc_none_22_default,0.90466,0.00126,0.90217,0.9066,0.84284,0.00281,0.83622,0.84604,0.90466,0.00126,0.90217,0.9066,0.85583,0.00176,0.85218,0.8586,0.90454,0.00237,0.90021,0.90901,0.88188,0.00224,0.87806,0.88601,1.72228,0.42124,1.53088,2.9114
fc_mm_0-100_22_default,0.90436,0.00153,0.90144,0.90726,0.84238,0.00423,0.8353,0.84926,0.90436,0.00153,0.90144,0.90726,0.85542,0.00247,0.85134,0.85982,0.90423,0.00129,0.90171,0.90687,0.88203,0.00188,0.87767,0.88537,1.65894,0.10432,1.53463,1.93679
fc_mm_0-10_22_default,0.90333,0.00199,0.89924,0.90726,0.83977,0.00514,0.83251,0.84926,0.90333,0.00199,0.89924,0.90726,0.85375,0.00319,0.84827,0.85982,0.90312,0.00208,0.89787,0.90687,0.88083,0.00249,0.8755,0.88537,1.63808,0.09393,1.53463,1.93679
fc_mm_0-1_22_default,0.90292,0.00203,0.89924,0.90726,0.83897,0.00504,0.82925,0.84926,0.90292,0.00203,0.89924,0.90726,0.85306,0.00329,0.8472,0.85982,0.90268,0.00217,0.89787,0.90687,0.88028,0.00262,0.87527,0.88537,1.62726,0.08741,1.50063,1.93679
fc_std_22_default,0.90092,0.00117,0.89816,0.90204,0.8342,0.00206,0.83095,0.83734,0.90092,0.00117,0.89816,0.90204,0.84959,0.00185,0.84544,0.85159,0.90031,0.00143,0.89689,0.902,0.87757,0.00174,0.8735,0.87992,1.61526,0.07444,1.51536,1.74959
