Dataset,Precision,Recall,Accuracy,F1,Runtime,knc__algorithm,knc__leaf_size,knc__metric,knc__metric_params,knc__n_neighbors,knc__p,knc__weights
lr_valid_lb_none,0.9157353080141228,0.9525862906202047,0.9157353080141228,0.9090858535771551,2190.512568950653,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9171662687028671,0.9559996119895238,0.9171662687028671,0.9108671139947134,2149.074128627777,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9166122378824338,0.9566432480689361,0.9166122378824338,0.910395523008302,2133.072594165802,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9125953411667698,0.9413254945947513,0.9125953411667698,0.9053624239718765,2632.775303840637,kd_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9134944231529379,0.9422924442553521,0.9134944231529379,0.9063682952463331,3024.951107978821,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9113963250980662,0.9548270571556194,0.9113963250980662,0.9051827303691429,2585.3887419700623,kd_tree,30,minkowski,None,15,2,uniform
lr_valid_lb_mm_0-1,0.9115719867748723,0.9414499041273653,0.9115719867748723,0.9042255355166352,3979.842111825943,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1,0.9114459900394986,0.9391225287267381,0.9114459900394986,0.9039820495870846,3937.331102848053,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1,0.9126836102349007,0.941231090648818,0.9126836102349007,0.9054721738887699,3940.3017036914825,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9145844789661809,0.9459794613447007,0.9145844789661809,0.9075986429334945,3248.6347682476044,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.910388382883657,0.9435649710937803,0.910388382883657,0.9031688996592482,3093.208610057831,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9141085324583856,0.9436608788437287,0.9141085324583856,0.9067877183497697,3221.3419778347015,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.919121562430218,0.9546272468703442,0.919121562430218,0.9128805750603646,2219.5063450336456,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9171768590493224,0.9539372754636373,0.9171768590493224,0.9107139546524778,2174.758193731308,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9170562755680841,0.9547162502421073,0.9170562755680841,0.9108329098720377,2534.5326023101807,auto,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9165421539835471,0.9561929444530404,0.9165421539835471,0.9105039734062634,1889.5693907737732,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9138502490125365,0.9528378535226525,0.9138502490125365,0.9075682896494541,1884.075427055359,kd_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9162368475345575,0.9539846356793668,0.9162368475345575,0.9098579040852575,1911.0978708267212,kd_tree,30,minkowski,None,5,2,uniform
fc_valid_lb_none,0.925238898257448,0.9263986584059254,0.925238898257448,0.8925541941564562,1007.6729233264923,ball_tree,45,minkowski,None,15,2,uniform
fc_valid_lb_none,0.9264393655551393,0.9246031746031746,0.9264393655551393,0.8936871079824918,979.2623205184937,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_none,0.9249777555767159,0.9226799330481681,0.9249777555767159,0.8919902912621359,1104.2544615268707,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9319828824889111,0.944129140305173,0.9319828824889111,0.90310379352542,1655.2369589805603,ball_tree,15,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9301755754974639,0.9424129930394431,0.9301755754974639,0.9007806262751707,1731.4555904865265,ball_tree,45,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9343545541137709,0.9467138665051935,0.9343545541137709,0.9062736879653989,1742.6571757793427,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9314448122930852,0.9419216617763495,0.9314448122930852,0.9020919755564476,1895.0198864936829,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9315299556444055,0.9444547822850763,0.9315299556444055,0.9025517915888681,1807.5385897159576,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.9316719755168322,0.9429356687007966,0.9316719755168322,0.902452073116362,1964.26753115654,ball_tree,45,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9326161964684392,0.943223528318543,0.9326161964684392,0.9039137984772252,1662.5946819782257,ball_tree,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9317525032413265,0.9432465229160832,0.9317525032413265,0.9024537274777288,1705.9338536262512,ball_tree,30,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-10,0.9328255712323635,0.9405232098880164,0.9328255712323635,0.9038985397222347,1649.4444525241852,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9281277313022849,0.9318340225825937,0.9281277313022849,0.8970098181736855,1086.8544127941132,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.9295299918856501,0.9299948662901946,0.9295299918856501,0.8982195176921343,1125.5998313426971,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-100,0.928527928293696,0.9317412473916068,0.928527928293696,0.8977503741929719,1147.4241585731506,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1000,0.9203065971463361,0.911712799554152,0.9203065971463361,0.8849370027272523,837.2995064258575,ball_tree,15,minkowski,None,5,2,uniform
fc_valid_lb_mm_0-1000,0.9188003497158559,0.9096402342660593,0.9188003497158559,0.882704494711441,986.0323758125305,auto,15,minkowski,None,5,2,uniform
fc_valid_lb_mm_0-1000,0.9196283572767021,0.9227759664648346,0.9196283572767021,0.8850371892519712,981.0494816303253,auto,15,minkowski,None,15,2,uniform
lr_valid_lb_none,0.9189469978620554,0.9540247708022406,0.9189469978620554,0.9124969874492501,3246.552192211151,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9177865612648222,0.9545260543980134,0.9177865612648222,0.9113844330011485,3325.036222934723,ball_tree,15,minkowski,None,5,2,uniform
lr_valid_lb_none,0.9190154755157074,0.9551749553883156,0.9190154755157074,0.9126204595997035,3242.3451023101807,ball_tree,15,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9128205128205128,0.9407874321179208,0.9128205128205128,0.9052938047647042,5405.043466567993,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_std,0.913694850571156,0.942072816098639,0.913694850571156,0.9063592871331451,5423.544801712036,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_std,0.9124836803408232,0.9439456677373167,0.9124836803408232,0.9054464128286268,5556.486726284027,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1,0.9112634722317567,0.940735866220218,0.9112634722317567,0.9038502663852498,6500.074862957001,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1,0.912158271526423,0.9542269241968359,0.912158271526423,0.9058276132123279,5937.303311109543,auto,15,minkowski,None,15,2,uniform
lr_valid_lb_mm_0-1,0.9131670703010941,0.9569982155326248,0.9131670703010941,0.907058618058811,6427.946520328522,ball_tree,30,minkowski,None,15,2,uniform
lr_valid_lb_mm_0-10,0.9123366300901381,0.9431030128790381,0.9123366300901381,0.904922555031593,5603.408621072769,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9135846983276673,0.9417242647770614,0.9135846983276673,0.9062302045683198,5435.999829530716,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-10,0.9138551680885246,0.9459574964062318,0.9138551680885246,0.9066552472095253,5418.682651281357,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9164714061333264,0.9531742197313751,0.9164714061333264,0.9102015206318742,3428.8828418254852,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9159757721551613,0.9515060884426405,0.9159757721551613,0.9092494989236138,3786.9644498825073,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-100,0.9189031354935118,0.95324298160697,0.9189031354935118,0.9124943241314762,3822.321216106415,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.9148152283130513,0.9524104549854792,0.9148152283130513,0.9084143560196855,3322.2521290779114,auto,15,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.91567899962211,0.9525849535735748,0.91567899962211,0.9091766882516189,2795.554916858673,ball_tree,30,minkowski,None,5,2,uniform
lr_valid_lb_mm_0-1000,0.915584694570233,0.9527380096738476,0.915584694570233,0.908966232996034,3248.659966468811,auto,15,minkowski,None,5,2,uniform
fc_valid_lb_none,0.9255910553109091,0.9232917520014895,0.9255910553109091,0.8927695388977652,6115.71279168129,auto,15,minkowski,None,15,1,uniform
fc_valid_lb_none,0.9246131505394812,0.9194171593501234,0.9246131505394812,0.8910846417614149,5861.984673976898,ball_tree,15,minkowski,None,15,1,uniform
fc_valid_lb_none,0.9260663950929438,0.9219048506593356,0.9260663950929438,0.8930868711490284,5875.913749456406,ball_tree,15,minkowski,None,15,1,uniform
fc_valid_lb_std,0.9326891556485225,0.9423935279895853,0.9326891556485225,0.9038573021181716,8554.134672880173,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9300782286900988,0.943950467855314,0.9300782286900988,0.9005596020607568,8554.38693523407,auto,15,minkowski,None,15,2,uniform
fc_valid_lb_std,0.9326318090271815,0.9479626446127398,0.9326318090271815,0.9043682542496841,9453.03939819336,ball_tree,22,minkowski,None,15,3,uniform
fc_valid_lb_mm_0-1,0.9306473022565784,0.9460176991150443,0.9306473022565784,0.9014490823957572,9408.116435289383,ball_tree,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1,0.933252123938031,0.9451717734447539,0.933252123938031,0.9050053342816501,9344.436549901962,auto,15,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-1,0.9324341201448733,0.9473389355742297,0.9324341201448733,0.9036337727110794,9455.044613361359,ball_tree,22,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-10,0.9331210688142841,0.9465329991645781,0.9331210688142841,0.9049319992012956,8146.696602106094,ball_tree,22,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-10,0.9311383789184463,0.9428571428571428,0.9311383789184463,0.9015467714215566,8293.675711154938,auto,15,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-10,0.9324807545166378,0.9462014998369742,0.9324807545166378,0.9038085068517531,8237.644629955292,ball_tree,15,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-100,0.9277430029814402,0.929429849077697,0.9277430029814402,0.896059279218592,6103.647545814514,ball_tree,22,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-100,0.9290253079577212,0.9318868187520327,0.9290253079577212,0.8982086878638603,6165.961385011673,ball_tree,15,minkowski,None,15,3,uniform
fc_valid_lb_mm_0-100,0.9287008402836348,0.9317759613598365,0.9287008402836348,0.8978541540802399,5905.915211200714,ball_tree,15,minkowski,None,15,2,uniform
fc_valid_lb_mm_0-1000,0.9239164376717461,0.9230090140321532,0.9239164376717461,0.8907472591529718,5904.485018253326,auto,15,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-1000,0.9220140515222482,0.9197798610139453,0.9220140515222482,0.88759367194005,5732.028586149216,ball_tree,22,minkowski,None,15,1,uniform
fc_valid_lb_mm_0-1000,0.9236930860033726,0.9220482713633399,0.9236930860033726,0.8900933318340266,5670.581836938858,ball_tree,22,minkowski,None,15,1,uniform
lr_valid_lb_none,0.9196900317013033,0.9435663725395133,0.9196900317013033,0.9123553788745337,20336.36428451538,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_none,0.9213322786986725,0.9454114538814204,0.9213322786986725,0.9140699836592099,20226.28845524788,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_none,0.9214155003994948,0.9427520805109347,0.9214155003994948,0.9141698961255876,20134.993615865707,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_std,0.9149106153410018,0.9422139346968902,0.9149106153410018,0.9073615098998324,27741.664998292923,ball_tree,15,minkowski,None,5,1,uniform
lr_valid_lb_std,0.9137209761796363,0.9397228413605969,0.9137209761796363,0.9061431214607434,29218.610726356506,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_std,0.9131095728051943,0.9417023005630478,0.9131095728051943,0.9058507123779743,27392.7457382679,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1,0.9129777678548427,0.941488846250751,0.9129777678548427,0.9055457172150247,31174.478597402573,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1,0.9131625487199739,0.9413586220243855,0.9131625487199739,0.9058149820755156,30861.477662086487,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1,0.9107999759638084,0.9388153822346023,0.9107999759638084,0.9033008552258113,31267.078417301178,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-10,0.9135069665160548,0.9408892763731473,0.9135069665160548,0.9060701325596797,27528.49164390564,ball_tree,30,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-10,0.9151575547232054,0.9441680379440519,0.9151575547232054,0.9080601016589398,27811.2215821743,ball_tree,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-10,0.9141417615297314,0.9414852255054432,0.9141417615297314,0.906538382344683,27950.441251516342,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-100,0.9203812896460436,0.9461453338251568,0.9203812896460436,0.9132133454507977,21415.888271808624,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-100,0.9190217671414092,0.9429556860237556,0.9190217671414092,0.9116966568936932,20621.481665611267,ball_tree,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-100,0.9197685101706121,0.944734340749937,0.9197685101706121,0.912466744107618,20737.730959892273,ball_tree,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1000,0.9191813307671157,0.9428986630497965,0.9191813307671157,0.9118727279541281,20947.106396198273,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1000,0.9170073519307407,0.9420508944318469,0.9170073519307407,0.9095876568391703,20934.90592432022,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1000,0.9185556911337583,0.9448258523661258,0.9185556911337583,0.9115775725347514,21011.835168123245,auto,15,minkowski,None,5,1,uniform
lr_valid_lb_mm_0-1,0.9163086440969239,0.9292984122676076,0.9163086440969239,0.90777563155702,4336.93590259552,auto,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-1,0.9168347249993564,0.9296884071995355,0.9168347249993564,0.9083723348933957,4312.920427322388,ball_tree,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-1,0.917216922403208,0.9313266529964793,0.917216922403208,0.908986207742922,4092.492424249649,ball_tree,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-10,0.9167626579558154,0.932646608081631,0.9167626579558154,0.9085102563375758,3562.9627389907837,ball_tree,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-10,0.915988694255204,0.931581700866128,0.915988694255204,0.9076886770189267,3964.8533096313477,auto,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-10,0.9167497336128966,0.9295495984792644,0.9167497336128966,0.9081984611302734,3609.9304819107056,ball_tree,15,minkowski,None,15,1,distance
lr_valid_lb_mm_0-100,0.9239556472408458,0.9318944286074428,0.9239556472408458,0.9157083377002012,2666.788276910782,ball_tree,15,minkowski,None,5,1,distance
lr_valid_lb_mm_0-100,0.9229176511018514,0.9307063370297722,0.9229176511018514,0.9144040145776489,3401.3536987304688,auto,15,minkowski,None,5,1,distance
lr_valid_lb_mm_0-100,0.9221824302853855,0.9293142514088735,0.9221824302853855,0.9137335173989624,2796.042032957077,ball_tree,15,minkowski,None,5,1,distance
lr_valid_lb_mm_0-1000,0.9230147817119285,0.930326437138532,0.9230147817119285,0.9145473623962606,3057.0084750652313,auto,15,minkowski,None,5,1,distance
lr_valid_lb_mm_0-1000,0.9222692502511183,0.9290596139325059,0.9222692502511183,0.9137911334552103,3125.1108243465424,auto,15,minkowski,None,5,1,distance
lr_valid_lb_mm_0-1000,0.924186050508262,0.9314089240272733,0.924186050508262,0.91574594868171,2332.04789686203,ball_tree,15,minkowski,None,5,1,distance
