Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9317529184093889,0.9449830681449182,0.9317529184093889,0.9030699323949906,0.9714512044416649,0.9283660370353568,221.1047887802124
fc_none,0.9302300177897069,0.9450208429828625,0.9302300177897069,0.9012522914504052,0.9709612150735009,0.9283722360137288,240.75432419776917
fc_none,0.9318767472005747,0.9504603449081647,0.9318767472005747,0.9031441513455901,0.9714788941360015,0.9291904857449418,254.0681128501892
fc_none,0.931829886851346,0.9525754060324826,0.931829886851346,0.9038393800634026,0.9709115669641578,0.9280903147310646,208.6491677761078
fc_none,0.9336757794813346,0.9544081423990334,0.9336757794813346,0.9062665489849956,0.9722560502695523,0.9304894992494092,251.15599632263184
fc_none,0.932489187965464,0.9541292931170702,0.932489187965464,0.9047241318526353,0.9716881824572069,0.9305953487751162,256.8935627937317
fc_none,0.9323243682254084,0.9500743080066877,0.9323243682254084,0.9042367449775676,0.9713994766106614,0.9292417779611594,258.41702342033386
fc_none,0.9335581892849893,0.9559364665331408,0.9335581892849893,0.9060727136266308,0.9718914427186358,0.9299377955053697,236.86679005622864
fc_none,0.9346288925310232,0.9569517971579827,0.9346288925310232,0.9077573675168495,0.9723046827395456,0.9308003604753914,257.98120379447937
fc_none,0.9317649630022792,0.9525357607282184,0.9317649630022792,0.9037033773214955,0.9709584141896247,0.9275084248714689,256.4544608592987
fc_std,0.9321869777756954,0.9551392310910697,0.9321869777756954,0.9044328036272395,0.9713812420193801,0.9285240217977296,207.63418197631836
fc_std,0.9337622185440805,0.9537015494858313,0.9337622185440805,0.9062209842154132,0.9726650315958305,0.93237415554554,122.72081065177917
fc_std,0.9307487006602051,0.9524273647080664,0.9307487006602051,0.9024384880934057,0.9702356098184146,0.9251206676818668,230.70086789131165
fc_std,0.9331501545570925,0.9503760096555566,0.9331501545570925,0.9053241354912887,0.9721348372875114,0.9316209830796072,136.35332918167114
fc_std,0.9334530408306659,0.9505926098071114,0.9334530408306659,0.9056369835717132,0.9724425825321372,0.9331211352707147,130.8762993812561
fc_std,0.9320026218865097,0.952822748991047,0.9320026218865097,0.9041089860686224,0.9704236314425099,0.9263249288426627,180.0458381175995
fc_std,0.9331709830000469,0.9560796694368355,0.9331709830000469,0.9058437987991291,0.9709849445253589,0.9281625591940565,231.1880340576172
fc_std,0.9339590230495346,0.9518885939173769,0.9339590230495346,0.9062409932380001,0.9721351345308138,0.9306788619737257,233.76606273651123
fc_std,0.9336506945528329,0.9553251824647855,0.9336506945528329,0.9062644704637163,0.9722827334208344,0.9309999183720872,215.43421959877014
fc_std,0.9324837183151384,0.9536516201013435,0.9324837183151384,0.9046768538731231,0.9718004384228518,0.9303277760720369,233.0250062942505
fc_mm_0-1,0.9321319257917422,0.94955987145452,0.9321319257917422,0.9036833473693542,0.9721376391452703,0.9318192657623452,183.55418229103088
fc_mm_0-1,0.9316247325430664,0.9533262051973409,0.9316247325430664,0.9035512865703207,0.9716806637264837,0.9304211340076529,219.35257959365845
fc_mm_0-1,0.931808952613001,0.9513276401138644,0.931808952613001,0.9032744029420887,0.9715587993723298,0.928364115097948,181.39049577713013
fc_mm_0-1,0.9329689208183664,0.952127907518762,0.9329689208183664,0.9049264575580366,0.9714320113382509,0.9288643788633684,216.0573742389679
fc_mm_0-1,0.9313494355883777,0.9518520239810383,0.9313494355883777,0.9030622368217994,0.9710754678932771,0.9275612831684228,173.35164093971252
fc_mm_0-1,0.9325714642561629,0.9563292319164802,0.9325714642561629,0.9047776528430009,0.9709944245206235,0.9287314485540126,195.03280210494995
fc_mm_0-1,0.9315532389706456,0.9516121506229294,0.9315532389706456,0.9029087528224199,0.971311060923506,0.9284554158280729,213.20722842216492
fc_mm_0-1,0.9318511584366955,0.9466071345518813,0.9318511584366955,0.9030926920175711,0.9708451723419165,0.9268017602615927,180.74136900901794
fc_mm_0-1,0.9326254976969318,0.9523123402277481,0.9326254976969318,0.9047314154505112,0.9717688975025434,0.9308263803660402,214.2312581539154
fc_mm_0-1,0.9305317056417621,0.9495634404607096,0.9305317056417621,0.9018569979268668,0.9712350471976672,0.9285075917108783,214.6757733821869
fc_mm_0-10,0.9326996613132307,0.9537300219001911,0.9326996613132307,0.9047029702970296,0.9719532478867892,0.9307938819907892,228.27790904045105
fc_mm_0-10,0.9315485482360287,0.9498657531710026,0.9315485482360287,0.9034630033243071,0.9711496746613062,0.9313520774615973,161.7194275856018
fc_mm_0-10,0.932780847145488,0.9562960559855401,0.932780847145488,0.905496434448711,0.9719199260091551,0.9312503407804732,160.1133189201355
fc_mm_0-10,0.93150620754275,0.9515512904127458,0.93150620754275,0.9030461116760246,0.9707096880568404,0.9281135868796779,91.26966667175293
fc_mm_0-10,0.933733058522266,0.9549436212841301,0.933733058522266,0.906176769686519,0.9727409689712193,0.9322435634141923,151.85340785980225
fc_mm_0-10,0.9316890415235717,0.9501897972409962,0.9316890415235717,0.9036717442986703,0.9717206065438249,0.931201992705867,148.11832857131958
fc_mm_0-10,0.9329669986574667,0.953185955786736,0.9329669986574667,0.9052975166512284,0.9715856659346618,0.930587724236178,222.18804168701172
fc_mm_0-10,0.9312228778370953,0.9546718576195773,0.9312228778370953,0.903381430639007,0.9710886965212173,0.9295106714790362,103.97267198562622
