Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9314565865692382,0.9425507111214735,0.9314565865692382,0.9020439128882543,0.9705542910036908,0.9251659884489645,68.46788334846497
fc_none,0.9318224415844059,0.9544967131334794,0.9318224415844059,0.9036657765222572,0.9705875990314953,0.9267270704772451,106.22673463821411
fc_none,0.9332198997830193,0.9555049283987354,0.9332198997830193,0.905729396209784,0.9719326085977058,0.929895930929269,97.63995599746704
fc_none,0.9320502013674253,0.9555503839888294,0.9320502013674253,0.9041463898002773,0.9706681903190315,0.9261733796574662,126.620765209198
fc_none,0.9322309145703533,0.9515114816712469,0.9322309145703533,0.9039738029914153,0.9708883608816834,0.9263659109019626,69.90133213996887
fc_none,0.9305462322618917,0.9492390497401634,0.9305462322618917,0.901928799735479,0.9711163544277553,0.9284846417045783,73.70621681213379
fc_none,0.9318462090819688,0.9539706155848986,0.9318462090819688,0.9038368353817012,0.9712511044383203,0.9293588240643453,95.24538564682007
fc_none,0.9325776028980076,0.9552697791445345,0.9325776028980076,0.9047261815453864,0.9716259271673524,0.9271874864617891,75.38038396835327
fc_none,0.9308703252793906,0.9531503923480522,0.9308703252793906,0.9026272397493679,0.970644756837106,0.9274139720718722,74.67023587226868
fc_none,0.9335821012037658,0.9606822512432031,0.9335821012037658,0.9067023423107291,0.9720849492365411,0.9299517108685839,96.54719662666321
fc_std,0.9341349156777015,0.9549604098742431,0.9341349156777015,0.9067309393242525,0.9717622351700189,0.9288228613418612,79.88044929504395
fc_std,0.9321411838200844,0.9449028107956929,0.9321411838200844,0.9032013723349746,0.9712444361485935,0.927296984441477,91.03292798995972
fc_std,0.9315577481499985,0.9490298022467737,0.9315577481499985,0.9031631030217352,0.9714671507431877,0.9288381214535952,75.91365814208984
fc_std,0.9319853228198922,0.9493841505926098,0.9319853228198922,0.9036453725004424,0.9716021313767991,0.928752965339203,88.9847514629364
fc_std,0.9330719730101212,0.9531912909692759,0.9330719730101212,0.9051466519092418,0.9715407855315729,0.9288032246320701,92.34559297561646
fc_std,0.9330408032605131,0.9537213076744725,0.9330408032605131,0.9055964070274317,0.9716881409951033,0.9302270656022736,51.82510852813721
fc_std,0.9332896195338235,0.959087113832452,0.9332896195338235,0.9063452054794521,0.9724430309854237,0.9318759901678455,58.005038261413574
fc_std,0.9329554858151046,0.9486127302401492,0.9329554858151046,0.9045353490440197,0.972113010543379,0.9306152060367903,68.13898253440857
fc_std,0.933658018794293,0.956202001396323,0.933658018794293,0.9062596497419384,0.9728101066015351,0.9332931466549769,67.18871545791626
fc_std,0.9314435564435565,0.9510004653327129,0.9314435564435565,0.9029735342199444,0.9705341711100108,0.9282415096948929,96.87110757827759
fc_mm_0-1,0.9332625630298016,0.9528582034149963,0.9332625630298016,0.9057269499636139,0.9723698910657002,0.9316114240313332,59.394386529922485
fc_mm_0-1,0.93208065422311,0.952822748991047,0.93208065422311,0.9042084874097553,0.9719658997523738,0.9305603191159535,59.40559482574463
fc_mm_0-1,0.9305234555562496,0.9510502538307485,0.9305234555562496,0.9017642253085738,0.9698283955581488,0.9246604096222564,56.962300300598145
fc_mm_0-1,0.9324569073195104,0.9550227674007992,0.9324569073195104,0.904784962803187,0.9714489150775318,0.9289103485250889,62.14348578453064
fc_mm_0-1,0.9326651366836838,0.9502736803042954,0.9326651366836838,0.9047587501380148,0.9717837631689419,0.9305724598973149,51.0958206653595
