Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.93272247631238,0.9610117384013416,0.93272247631238,0.9054243833933118,0.9728756677415008,0.9303750982647272,254.03125047683716
fc_none,0.934099210189492,0.9575131462608777,0.934099210189492,0.9069511173799975,0.9736512077130614,0.9347498140685411,325.7642629146576
fc_none,0.93210493441599,0.9466231951560317,0.93210493441599,0.9033691883722996,0.9715132844021722,0.9277148114888805,338.3785536289215
fc_none,0.9354259389396424,0.9469393459424206,0.9354259389396424,0.907678224564067,0.9743063665418594,0.9334185992037931,280.5837495326996
fc_none,0.9331272346870267,0.9439962695266962,0.9331272346870267,0.9043353956802396,0.972536762783542,0.929964459132308,330.26761174201965
fc_none,0.9328573883429928,0.9362927191679049,0.9328573883429928,0.9036884327522072,0.9723089358891226,0.9300212623725013,334.45796728134155
fc_none,0.934727968152369,0.9541672477106866,0.934727968152369,0.9075715706864155,0.9727439710336006,0.9275659742184461,473.6685709953308
fc_none,0.9328620253757198,0.9509307831576993,0.9328620253757198,0.9049701789264414,0.9719155905542638,0.9300051165003121,515.9870095252991
fc_none,0.9354214158573525,0.9464036475295431,0.9354214158573525,0.9077197679607318,0.973759695426399,0.9343413321124034,510.77795338630676
fc_none,0.9343358630812955,0.9595512939862223,0.9343358630812955,0.9074502035875426,0.9725349094158496,0.9298839109996984,260.7401280403137
fc_std,0.9325335457769031,0.943588306715233,0.9325335457769031,0.9034450381167423,0.9713346644778531,0.9256010516600961,396.5357463359833
fc_std,0.9321565689671317,0.950873615423831,0.9321565689671317,0.9042110134197132,0.971013293743084,0.9257885887521703,215.61021518707275
fc_std,0.9313918281986453,0.9495295916948603,0.9313918281986453,0.9031120514854977,0.9702446574723332,0.9221500520843794,217.70957231521606
fc_std,0.9301457962598733,0.9401908308121946,0.9301457962598733,0.9002785515320334,0.9697293428906467,0.9191055214387518,184.07585430145264
fc_std,0.9329762481065634,0.9513888888888888,0.9329762481065634,0.9054458935495241,0.9706166193852498,0.9225917254982373,162.00541949272156
fc_std,0.932259222831093,0.9486965395676779,0.932259222831093,0.9040956612072586,0.9703111456791176,0.9238640426480879,236.9347414970398
fc_std,0.9321811624748255,0.9538590604026845,0.9321811624748255,0.9040551285449244,0.9698435841313673,0.9211576648646345,170.0617160797119
fc_std,0.93212372936933,0.9514920162003632,0.93212372936933,0.9038805970149254,0.9702708072993436,0.9245420468227674,89.4004909992218
fc_std,0.9325695376642837,0.9506724370608218,0.9325695376642837,0.904378237195095,0.9708318878378743,0.9244040896319898,152.683655500412
fc_std,0.9350667603654251,0.9527625081524271,0.9350667603654251,0.9077271315077006,0.9721785765863115,0.9280204701558035,172.73550820350647
fc_mm_0-1,0.9331200749005227,0.9529685681024447,0.9331200749005227,0.9052105449398443,0.9723315300616169,0.9289757512192693,99.38681435585022
fc_mm_0-1,0.9342575679515401,0.9543251304996272,0.9342575679515401,0.9067599583730044,0.9721745664809555,0.9293818882481781,153.87920451164246
fc_mm_0-1,0.930471178023145,0.9462074122540544,0.930471178023145,0.9009433962264151,0.9707589145062617,0.9250906939125972,246.349595785141
fc_mm_0-1,0.933578990100865,0.9451940076300362,0.933578990100865,0.9052265739874348,0.9722358859294548,0.9296689975986112,251.71166133880615
fc_mm_0-1,0.9359124475044104,0.9483254476296502,0.9359124475044104,0.908763585446625,0.9733401650664883,0.9309813299313658,210.19537329673767
fc_mm_0-1,0.9337714232198046,0.9482991297873331,0.9337714232198046,0.9057090157559057,0.971476181271655,0.9245647455276058,385.38338470458984
fc_mm_0-1,0.9332739796635584,0.9540986646884273,0.9332739796635584,0.9059610812714625,0.9718210061700869,0.9299862069070262,157.13068461418152
fc_mm_0-1,0.9340637046053967,0.9478204354486792,0.9340637046053967,0.9062340486917152,0.9728150741350367,0.9320197494738917,182.81252813339233
fc_mm_0-1,0.9325714642561629,0.9573545861297539,0.9325714642561629,0.9048699367855333,0.9712204193361234,0.9266714948348451,79.76858425140381
fc_mm_0-1,0.9319988132973158,0.9534006796704064,0.9319988132973158,0.9038949575195852,0.9707479381664182,0.9217341903070365,174.06040787696838
fc_mm_0-10,0.9327681234093712,0.9530892982047097,0.9327681234093712,0.9047007790368271,0.9712886732068235,0.9259774188357389,89.13661980628967
fc_mm_0-10,0.9341033244888404,0.9536981079447724,0.9341033244888404,0.9067002563422611,0.9721530144346211,0.9276923783959461,109.55437850952148
fc_mm_0-10,0.9351202834975101,0.9520230141054195,0.9351202834975101,0.9080368206762258,0.9726452074898915,0.9309080868753644,149.68663573265076
fc_mm_0-10,0.9322780067440989,0.9583099906629319,0.9322780067440989,0.9044324991187875,0.9713783394647536,0.9249756186454331,108.20440983772278
fc_mm_0-10,0.9325484807794397,0.9412859402623988,0.9325484807794397,0.9035369774919614,0.9721972925440107,0.9305643253888684,69.12476420402527
fc_mm_0-10,0.9330886945658963,0.9558453656264555,0.9330886945658963,0.9054689051159303,0.9714431437565395,0.9264172799763967,104.78513169288635
fc_mm_0-10,0.9336549871963026,0.9514603810499837,0.9336549871963026,0.9057850506663119,0.9717724884643628,0.9234822527909738,138.6784646511078
fc_mm_0-10,0.9323908458954933,0.9455164056674124,0.9323908458954933,0.9036123112556234,0.9712019219658024,0.9269305950802151,103.06083989143372
fc_mm_0-10,0.9322375199025944,0.9514545031417267,0.9322375199025944,0.9040132669983416,0.9709566845964995,0.9251957850805321,189.18303871154785
fc_mm_0-10,0.9326121569729324,0.9492028179458658,0.9326121569729324,0.9046535768712591,0.9718697058287219,0.9278520148071816,86.95614910125732
fc_mm_0-100,0.9342742061385706,0.9474514901123386,0.9342742061385706,0.9065067732622696,0.972405327849978,0.9322931776037509,89.49820804595947
fc_mm_0-100,0.9328899920385895,0.951715492826965,0.9328899920385895,0.9050930525200344,0.971445938031767,0.9280108324235725,87.83313512802124
fc_mm_0-100,0.9343983259939411,0.9549897598212623,0.9343983259939411,0.9071294351718803,0.9726962336756748,0.9320691065695252,61.91266489028931
fc_mm_0-100,0.9332229752943748,0.9548669272287362,0.9332229752943748,0.905648720211827,0.9720839762971935,0.92996942607006,89.17877435684204
fc_mm_0-100,0.9341410860943696,0.9569647343444683,0.9341410860943696,0.9070023811623601,0.9728681442696101,0.9303826014852989,146.24934816360474
fc_mm_0-100,0.9354873956138297,0.9552800222903316,0.9354873956138297,0.9087134180011044,0.9728286614718392,0.9314511013081359,73.32654070854187
fc_mm_0-100,0.9330220500968205,0.9531461040473196,0.9330220500968205,0.9051504898383422,0.9719035375698707,0.9294099419256372,108.06400299072266
fc_mm_0-100,0.9310280198669291,0.9369310793237972,0.9310280198669291,0.9013492985434725,0.9719833527918108,0.9306725060462208,75.5732913017273
fc_mm_0-100,0.9328690329330565,0.9522837931833991,0.9328690329330565,0.9052478455401026,0.971771098416193,0.9286705300756438,147.94475984573364
fc_mm_0-100,0.9331772418637322,0.9552800222903316,0.9331772418637322,0.9057525922990556,0.9729481657571951,0.9317970203472564,127.35716581344604
fc_mm_0-1000,0.9321615884115884,0.9603071195905072,0.9321615884115884,0.9047347654537482,0.9708900018784253,0.9237813802175874,150.25609183311462
