Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9331105767729444,0.9404484972550479,0.9331105767729444,0.9041867954911433,0.9753484220197041,0.9449530792677977,17.117968797683716
fc_none,0.9328087923067316,0.9411764705882353,0.9328087923067316,0.9035496593761205,0.9747271832240417,0.942586002327851,16.157294750213623
fc_none,0.9333739304228343,0.9414313670673748,0.9333739304228343,0.9044922443315352,0.9754925835650045,0.9434578947019584,16.369945526123047
fc_none,0.934428533504068,0.9426388888888889,0.934428533504068,0.9065247879610873,0.9755889847390337,0.9450237707144012,20.823835611343384
fc_none,0.933695703106696,0.9398182492581603,0.933695703106696,0.9052137992631462,0.9759499246802428,0.9462662181965924,17.354933738708496
fc_none,0.9340254468815862,0.9391530702366011,0.9340254468815862,0.9053188152529462,0.9759682897680507,0.9453061891548207,16.240459203720093
fc_none,0.9335508751112429,0.940372728540224,0.9335508751112429,0.9048385654234863,0.9758988533825746,0.9459182361517336,16.259910821914673
fc_none,0.9320183658170914,0.9420148560817084,0.9320183658170914,0.9031267386224546,0.974166209865404,0.9429529659357443,16.06455683708191
fc_none,0.9347771774772805,0.9448606393373971,0.9347771774772805,0.9067404943178011,0.9761339883751583,0.9453404795191023,17.39776587486267
fc_none,0.9328951271682618,0.9395826555746619,0.9328951271682618,0.9039166592148797,0.9747584622931131,0.9428916686477922,16.16165256500244
fc_std,0.9324288457635321,0.9390884170422339,0.9324288457635321,0.9032892384697891,0.9745426826017434,0.9414358508866605,17.106855630874634
fc_std,0.9354692647586929,0.9444159477733738,0.9354692647586929,0.9074128004659603,0.9763772169455931,0.9461246399925217,16.809364557266235
fc_std,0.9325121768452604,0.9380952380952381,0.9325121768452604,0.9028779402844241,0.9752326624116827,0.9427117602064189,17.52507448196411
fc_std,0.9329150277829806,0.9403816687560942,0.9329150277829806,0.9040710650834747,0.9748608338469388,0.9412712658865237,16.801509380340576
fc_std,0.932269049329876,0.9400055938840202,0.932269049329876,0.9029239242376753,0.9747484731107684,0.9421547875782872,17.030566453933716
fc_std,0.9343253751385787,0.9392486383315488,0.9343253751385787,0.9056061762197585,0.9753748809758216,0.9436421687915801,16.867538690567017
fc_std,0.9341622852863628,0.9417236407608949,0.9341622852863628,0.9056266213435906,0.9753492499823628,0.9440338790350472,17.759309768676758
fc_std,0.9329970956559758,0.9385324089153599,0.9329970956559758,0.9038560641706438,0.9746885431050771,0.9417216255125818,16.73047423362732
fc_std,0.9322626461269529,0.9408228880294488,0.9322626461269529,0.9029560395331158,0.9744830044393414,0.9411536401673718,16.61311912536621
fc_std,0.9343171702974935,0.9399161620866325,0.9343171702974935,0.9056231207647085,0.9756093524405617,0.945062520105902,17.038118362426758
fc_mm_0-1,0.9337725597951664,0.9407827461188064,0.9337725597951664,0.9051473547694647,0.9751695614653945,0.9438915089858311,18.71303629875183
fc_mm_0-1,0.9338870068844936,0.9398663697104677,0.9338870068844936,0.9053567836949962,0.9753188011987236,0.944888227634233,17.86693835258484
fc_mm_0-1,0.932634964248915,0.9393742456596417,0.932634964248915,0.9036550784825954,0.9748443465700757,0.9431953012208971,17.849133729934692
fc_mm_0-1,0.9325746222055701,0.9396358543417367,0.9325746222055701,0.9031027752226684,0.9745516390719906,0.9423577050325784,18.679938793182373
fc_mm_0-1,0.9323224909820578,0.9386969626709947,0.9323224909820578,0.9033020972780009,0.9748019319924702,0.9437975466673814,17.917046546936035
fc_mm_0-1,0.9322700458815818,0.936561788353395,0.9322700458815818,0.9027864886658902,0.9750875717791402,0.9445727231254181,17.841268301010132
fc_mm_0-1,0.9351859075377198,0.9437882254073486,0.9351859075377198,0.9068275614570249,0.9762198741640908,0.9457559936309429,18.178927183151245
fc_mm_0-1,0.9323155692922481,0.937910169885967,0.9323155692922481,0.9028630314978269,0.974692828422307,0.9429417940188607,17.655025482177734
