Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.9171285381961249,0.8839845746410816,0.9171285381961249,0.8775830258302583,0.9440600243140249,0.8883720709715015,90.27274465560913
fc_none,0.9187669821043756,0.8823310370508285,0.9187669821043756,0.8793431368001113,0.943122882354865,0.8891404483617065,93.3676130771637
fc_none,0.9160995254745254,0.8836668217775709,0.9160995254745254,0.8760235266981894,0.9422246296340057,0.885444841093173,95.37685775756836
fc_none,0.9165339827042552,0.8822899697463347,0.9165339827042552,0.8763956633301742,0.9434732459067208,0.8895849187411133,92.2734785079956
fc_none,0.9194465267366316,0.8877437325905293,0.9194465267366316,0.8811575503433022,0.9440960086560836,0.8903376799027931,95.317946434021
fc_none,0.9174236039579237,0.8861750938499328,0.9174236039579237,0.8784600188362851,0.9434359157493545,0.8899145727423773,117.00350332260132
fc_none,0.9174277551402744,0.8825969425801641,0.9174277551402744,0.8774644950536339,0.9435724441099709,0.8885723482636028,94.83379054069519
fc_none,0.9187551724676379,0.8901672178489916,0.9187551724676379,0.8801842256764536,0.9427982734048987,0.8868006056252746,88.26639199256897
fc_none,0.9183358051674342,0.8823037233300794,0.9183358051674342,0.8788924131224967,0.9439287314323533,0.891624339566385,84.93947863578796
fc_none,0.9182918260598018,0.8839879154078549,0.9182918260598018,0.8790645004737585,0.944226754894455,0.8920379299813572,101.17195439338684
fc_std,0.9204802723000297,0.8941944509209606,0.9204802723000297,0.8827713200598458,0.9451106676468624,0.8967922211749171,372.2584276199341
fc_std,0.9182593217163201,0.8931383053058183,0.9182593217163201,0.8798788462862257,0.9433068501336495,0.893028591863785,370.99594831466675
fc_std,0.9205870872043095,0.8963978619567743,0.9205870872043095,0.8835035961335838,0.945812785211724,0.896596538784277,368.59234285354614
fc_std,0.9186750749250749,0.89502093997208,0.9186750749250749,0.8807179815925638,0.9435645826915161,0.8931265671494029,372.93079018592834
