Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
lr__22_default,0.91977,0.00281,0.91593,0.92686,0.90615,0.0054,0.89829,0.92026,0.91977,0.00281,0.91593,0.92686,0.90917,0.00337,0.90462,0.91768,0.93184,0.00197,0.92809,0.93714,0.93411,0.00182,0.93115,0.93876,2.64837,0.15535,2.37613,3.20428
lr__22_opt-01,0.92052,0.00509,0.91459,0.93045,0.95209,0.00468,0.94447,0.96174,0.92052,0.00509,0.91459,0.93045,0.91396,0.00518,0.90766,0.92373,0.96481,0.00505,0.95909,0.97584,0.95146,0.009,0.94079,0.97095,2.41085,0.10628,2.2495,2.7831
lr__22_opt-02,0.91784,0.0067,0.90978,0.93043,0.9375,0.01275,0.91861,0.95514,0.91784,0.0067,0.90978,0.93043,0.90998,0.00773,0.90032,0.92374,0.94824,0.01284,0.93091,0.96855,0.935,0.01526,0.91685,0.96263,2.30162,0.19224,2.04643,2.8488
lr__15_default,0.91969,0.00259,0.91501,0.92548,0.91879,0.0051,0.91148,0.93061,0.91969,0.00259,0.91501,0.92548,0.91022,0.00306,0.90481,0.91721,0.94118,0.00171,0.93805,0.94506,0.93467,0.00187,0.93126,0.93852,2.10192,0.05477,1.99433,2.23342
lr__15_opt-01,0.91796,0.00401,0.91279,0.92684,0.95476,0.00373,0.94829,0.96255,0.91796,0.00401,0.91279,0.92684,0.91165,0.00415,0.90639,0.92079,0.96147,0.00354,0.95752,0.96925,0.94525,0.00669,0.93753,0.96025,1.97561,0.06028,1.85894,2.11975
lr__15_opt-02,0.91584,0.00477,0.90865,0.92601,0.93835,0.01329,0.92081,0.95814,0.91584,0.00477,0.90865,0.92601,0.90808,0.0058,0.89968,0.91953,0.94757,0.01005,0.93432,0.96472,0.93215,0.01165,0.91829,0.95448,1.86109,0.10199,1.69213,2.0609
lr__10_default,0.92059,0.00287,0.91638,0.92634,0.92633,0.00577,0.91884,0.93767,0.92059,0.00287,0.91638,0.92634,0.9118,0.00339,0.90698,0.91853,0.94697,0.00205,0.94315,0.95121,0.93567,0.00229,0.93147,0.94052,1.76363,0.05854,1.66857,2.01864
lr__10_opt-01,0.91795,0.0038,0.91347,0.92641,0.95394,0.00323,0.94613,0.95997,0.91795,0.0038,0.91347,0.92641,0.91157,0.0039,0.90668,0.92014,0.9611,0.00373,0.95566,0.96907,0.94358,0.00753,0.93504,0.95926,1.69902,0.04438,1.5887,1.79643
lr__10_opt-02,0.91625,0.00429,0.91096,0.92573,0.93559,0.01491,0.91586,0.95872,0.91625,0.00429,0.91096,0.92573,0.90822,0.0054,0.9013,0.9193,0.94959,0.00927,0.93769,0.96728,0.93361,0.01017,0.92353,0.95625,1.57768,0.08419,1.45083,1.76594
