Dataset,Precision,Recall,Accuracy,F1,Runtime,xbc__objective,xbc__use_label_encoder,xbc__base_score,xbc__booster,xbc__colsample_bylevel,xbc__colsample_bynode,xbc__colsample_bytree,xbc__enable_categorical,xbc__gamma,xbc__gpu_id,xbc__importance_type,xbc__interaction_constraints,xbc__learning_rate,xbc__max_delta_step,xbc__max_depth,xbc__min_child_weight,xbc__missing,xbc__monotone_constraints,xbc__n_estimators,xbc__n_jobs,xbc__num_parallel_tree,xbc__predictor,xbc__random_state,xbc__reg_alpha,xbc__reg_lambda,xbc__scale_pos_weight,xbc__subsample,xbc__tree_method,xbc__validate_parameters,xbc__verbosity
lr_valid_lb_mm_0-100,0.9327937588067499,0.9584051765891083,0.9327937588067499,0.9267342312807928,1545.0960004329681,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-100,0.9335348210222638,0.9566995522648422,0.9335348210222638,0.9272865610234927,1545.9780921936035,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9351040807914263,0.9527655361199013,0.9351040807914263,0.9285112904293863,1542.155483007431,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9345538268571576,0.9502024840628572,0.9345538268571576,0.9279253708749621,1574.4065945148468,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,None,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9365213182832967,0.9527321643937285,0.9365213182832967,0.9099326599326599,366.5971941947937,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9377078356985621,0.9561894108873975,0.9377078356985621,0.9113766602994092,362.60317873954773,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.9354899115209963,0.9529439143588551,0.9354899115209963,0.9083004303269597,362.2556085586548,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_std,0.9343578690905683,0.9512342522430385,0.9343578690905683,0.9068628537239347,360.9126913547516,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-1,0.9364685309226037,0.9516903707157846,0.9364685309226037,0.9093501459219819,362.14312767982483,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-1,0.9380279490982902,0.9548686962584244,0.9380279490982902,0.9119115786670218,359.96111392974854,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-10,0.9382984039728894,0.9523543644146659,0.9382984039728894,0.9119789694120792,360.92238879203796,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-10,0.9361466285732128,0.9536135077465442,0.9361466285732128,0.9095252842543026,365.55518794059753,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-100,0.9371926373471968,0.9529269202087994,0.9371926373471968,0.9104308137593233,360.5849173069,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_mm_0-100,0.9381975990883404,0.9539904359533868,0.9381975990883404,0.9121296193541228,366.7290196418762,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,hist,1,None
fc_valid_lb_mm_0-1000,0.9381393387577892,0.9528438566154134,0.9381393387577892,0.9114603124930146,369.0652012825012,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,approx,1,None
fc_valid_lb_mm_0-1000,0.9384416030474763,0.9521812080536913,0.9384416030474763,0.9119925005021986,366.6158456802368,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,approx,1,None
lr_valid_lb_none,0.9344068014942677,0.958477978395361,0.9344068014942677,0.9282695666873274,686.3016188144684,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_none,0.9334352298682786,0.9578816971198514,0.9334352298682786,0.9273667641106363,688.9671201705933,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_std,0.9315186049704792,0.9612433144717464,0.9315186049704792,0.9255513676904131,675.0138599872589,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_std,0.9308320944581461,0.9595100836584561,0.9308320944581461,0.9247158958050787,677.9066240787506,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1,0.9335114379225331,0.956821135530425,0.9335114379225331,0.9272515367407936,685.5281980037689,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1,0.9349091565705638,0.9581754958525167,0.9349091565705638,0.9287314767741813,677.7206819057465,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-10,0.9330537100226048,0.9591251622401735,0.9330537100226048,0.9270767992060742,690.6383550167084,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-10,0.9324762984336357,0.9585315187637112,0.9324762984336357,0.926244500933317,685.6236553192139,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-100,0.9326814850455807,0.9579167230742452,0.9326814850455807,0.9267051460751939,684.6793391704559,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-100,0.9336512846953682,0.9591476313389097,0.9336512846953682,0.9275465678224557,683.8996682167053,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9350869057433361,0.9529985051156109,0.9350869057433361,0.9285099541306094,720.87087225914,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
lr_valid_lb_mm_0-1000,0.9353043239250314,0.9494589729196106,0.9353043239250314,0.9286958497425023,710.9432964324951,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9359532843068372,0.9550011657729074,0.9359532843068372,0.908969863743287,124.10829901695251,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9383323185487018,0.9540773726690788,0.9383323185487018,0.9123896553253783,125.18619728088379,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,"(1,0)",100,8,1,auto,42,0,1,1,1,auto,1,None
fc_valid_lb_none,0.9393305439330544,0.9550525239379009,0.9393305439330544,0.9136060471320586,125.5790114402771,binary:logistic,True,0.5,gbtree,1,1,1,False,0,-1,gain,,0.300000012,0,6,1,nan,(),100,8,1,auto,42,0,1,1,1,approx,1,None
