Dataset,Precision,Recall,Accuracy,F1,ROC_AUC,P_R_AUC,Runtime(seconds)
fc_none,0.933309390712345,0.9667302591782607,0.933309390712345,0.9067935316325864,0.9741783046110528,0.9377812089308063,30.2384135723114
fc_none,0.9363748497197371,0.9674049895080439,0.9363748497197371,0.9105712467355763,0.9758925321236631,0.9418193388581201,30.04357933998108
fc_none,0.9329533921461473,0.9652800371833604,0.9329533921461473,0.9063059131573206,0.9747566713307975,0.9403325440116811,33.411232471466064
fc_none,0.9363383625402181,0.9683606327873443,0.9363383625402181,0.9105708894642153,0.975766542842254,0.9398428046679359,30.05198621749878
fc_none,0.9354219350004683,0.9692714126807565,0.9354219350004683,0.90999282031199,0.9753999937007319,0.9411142056846541,29.467461585998535
fc_none,0.9338078069641491,0.968454405666092,0.9338078069641491,0.9074199393132354,0.9743079249511302,0.9374702332424841,29.58681011199951
fc_none,0.9361565958509592,0.9681852058878331,0.9361565958509592,0.9104248795444592,0.9752947646721706,0.9404940793896261,29.927083730697632
fc_none,0.9367956042583747,0.9675101965146459,0.9367956042583747,0.911591956156248,0.9765584354590597,0.943590639550366,29.862003803253174
fc_none,0.9341480926515577,0.9672656358824349,0.9341480926515577,0.908048732646078,0.9748886840373404,0.9400973441831127,29.478044271469116
fc_none,0.9365223093015268,0.9676446012440814,0.9365223093015268,0.9111373371798234,0.9754829512308922,0.9414092736193433,30.14207649230957
fc_std,0.9316801224292206,0.9606481481481481,0.9316801224292206,0.9046321525885559,0.9720437397833303,0.9294935599557576,29.52703547477722
fc_std,0.9326960623525921,0.9622589020771514,0.9326960623525921,0.9059519392365278,0.9731386077491022,0.9321077238066298,29.031487464904785
fc_std,0.9341055622336357,0.9630660727542687,0.9341055622336357,0.9077034089169745,0.9728713676158627,0.9305848073611858,29.33858370780945
fc_std,0.9325776028980076,0.960544090930265,0.9325776028980076,0.9052197199174677,0.972250563169575,0.9276727251116753,29.97254228591919
fc_std,0.9339945333853963,0.9629905151571508,0.9339945333853963,0.9074260679079956,0.9730181191643943,0.9311917003427425,29.616452932357788
fc_std,0.9329594100553074,0.9629060068036721,0.9329594100553074,0.9059341912006488,0.9727978348525744,0.9309273690759489,29.685192823410034
fc_std,0.9321420210690597,0.962784222737819,0.9321420210690597,0.9051566180961521,0.9727426487217155,0.9310672406777929,29.33035922050476
fc_std,0.9336393729311099,0.962678221973721,0.9336393729311099,0.9067409813043096,0.9737304066142469,0.9325163001210531,29.78793168067932
fc_std,0.93299918805821,0.962678221973721,0.93299918805821,0.9059259421656107,0.9723480621869857,0.9292964626660313,29.053175926208496
fc_std,0.933949595577902,0.9640314550276861,0.933949595577902,0.9073709105242412,0.9729949189959012,0.9318680439820309,29.852738857269287
