Dataset,Precision_mean,Precision_std,Precision_min,Precision_max,Recall_mean,Recall_std,Recall_min,Recall_max,Accuracy_mean,Accuracy_std,Accuracy_min,Accuracy_max,F1_mean,F1_std,F1_min,F1_max,ROC_AUC_mean,ROC_AUC_std,ROC_AUC_min,ROC_AUC_max,P_R_AUC_mean,P_R_AUC_std,P_R_AUC_min,P_R_AUC_max,Runtime(seconds)_mean,Runtime(seconds)_std,Runtime(seconds)_min,Runtime(seconds)_max
fc__22_opt-01,0.92554,0.00252,0.91924,0.9297,0.91895,0.00848,0.90168,0.93063,0.92554,0.00252,0.91924,0.9297,0.89232,0.00404,0.88249,0.89822,0.95749,0.00194,0.95231,0.96018,0.91527,0.00352,0.90553,0.92062,888.10712,19.31591,853.045,939.85365
fc__22_default,0.92581,0.00305,0.91721,0.93007,0.92255,0.00712,0.90621,0.93134,0.92581,0.00305,0.91721,0.93007,0.89307,0.00466,0.88011,0.89931,0.95779,0.00209,0.95209,0.9605,0.91572,0.00382,0.90584,0.92075,548.93427,16.2538,506.60792,578.97666
fc__22_opt-02,0.92056,0.00215,0.91508,0.92449,0.89745,0.00601,0.88469,0.90599,0.92056,0.00215,0.91508,0.92449,0.88358,0.00338,0.87493,0.88979,0.94713,0.0016,0.94252,0.95002,0.8943,0.00432,0.88266,0.90286,354.08211,221.11945,29.22903,611.87394
fc__15_opt-02,0.91859,0.00198,0.91378,0.92227,0.89061,0.00643,0.87955,0.90164,0.91859,0.00198,0.91378,0.92227,0.88019,0.00324,0.87269,0.88565,0.94379,0.0014,0.94032,0.94646,0.89211,0.00424,0.88312,0.89996,258.23703,194.34822,27.66151,758.40345
fc__15_default,0.92545,0.00236,0.92019,0.93024,0.92194,0.00695,0.9089,0.93522,0.92545,0.00236,0.92019,0.93024,0.8925,0.00369,0.8843,0.8996,0.95771,0.00161,0.95309,0.96111,0.91544,0.00324,0.90729,0.92241,68.12754,85.84767,9.56589,266.62877
fc__15_opt-01,0.9253,0.0021,0.92056,0.92819,0.91889,0.00733,0.90656,0.9283,0.9253,0.0021,0.92056,0.92819,0.89199,0.0034,0.88452,0.89671,0.95738,0.00136,0.95432,0.95922,0.91521,0.00277,0.90891,0.91922,67.84936,83.60218,9.96641,258.2113
fc__10_opt-02,0.92446,0.0014,0.92018,0.92684,0.91249,0.00357,0.90345,0.91916,0.92446,0.0014,0.92018,0.92684,0.89023,0.00212,0.88364,0.8938,0.95181,0.00098,0.9494,0.95444,0.90095,0.00238,0.89608,0.90613,59.20285,29.86198,15.14149,118.37605
fc__10_default,0.92414,0.00207,0.91895,0.92788,0.91883,0.00563,0.90601,0.92988,0.92414,0.00207,0.91895,0.92788,0.89049,0.00318,0.8826,0.8964,0.95508,0.00125,0.95165,0.95707,0.91127,0.00266,0.90392,0.91517,22.2608,18.96475,7.94308,62.97123
fc__10_opt-01,0.92458,0.00153,0.92042,0.92804,0.91954,0.00516,0.90773,0.92752,0.92458,0.00153,0.92042,0.92804,0.89119,0.00247,0.88448,0.89653,0.9553,0.00104,0.95262,0.958,0.91177,0.00214,0.90624,0.91746,21.13972,16.85409,7.82777,58.16284
